id, username, display_name, created_at, channel_type, country, uploads, subscribers, views, grade
UCQ7x25F6YXY9DvGeHFxLhRQ, Q7x25F6YXY9DvGeHFxLhRQ, shfa2 - شفا, 2017-11-06, peopleUnited Arab Emirates, 894, 29200000, 16558383461, N/A
UCpEJRZdSpdVZ8vh63T9I2KQ, pEJRZdSpdVZ8vh63T9I2KQ, Like Nastya ESP, 2017-04-22, entertainmentUnited States, 456, 29200000, 12003232867, N/A
UCPNxhDvTcytIdvwXWAm43cA, SelGomez, Selena Gomez, 2008-02-08, filmUnited States, 179, 29000000, 10463459953, N/A
UCbTVTephX30ZhQF5zwFppBg, RezendeEvil, rezendeevil, 2012-02-12, entertainmentBrazil, 10300, 29000000, 11687204594, N/A
UCbrd1vu4_7qIE6IPV_dA-OA, brd1vu4_7qIE6IPV_dA-OA, GENIAL, 2017-06-01, howtoMexico, 4125, 28700000, 5238063764, N/A
UClZF7OsrECe3t_ADrjZEh_Q, lZF7OsrECe3t_ADrjZEh_Q, Geet MP3, 2016-10-22, musicIndia, 427, 28700000, 9286331315, N/A
UCpDJl2EmP7Oh90Vylx0dZtA, spinninrec, Spinnin' Records, 2007-07-12, musicThe Netherlands , 10108, 28600000, 18126397075, N/A
UCLsooMJoIpl_7ux2jvdPB-Q, supersimplesongs, Super Simple Songs - Kids Songs, 2006-09-08, educationCanada, 548, 28500000, 27825655415, N/A
UCtW7qWjpCZ8zps-Cf2NF26w, tW7qWjpCZ8zps-Cf2NF26w, Gaane Sune Ansune, 2015-08-24, musicIndia, 2621, 28400000, 13685330975, N/A
UCJg19noZp7-BYIGvypu_cow, Jg19noZp7-BYIGvypu_cow, Voot Kids, 2016-11-23, entertainmentUnspecified, 2154, 28300000, 11297087837, N/A
UC48h7Dst_hX82HxOf3xJw_w, tv3official, Ch3Thailand, 2014-05-29, entertainmentThailand, 80629, 28200000, 20642009728, N/A
UCcvNYxWXR_5TjVK7cSCdW-g, tseriesapnapunjab, T-Series Apna Punjab, 2011-09-26, musicIndia, 5440, 28100000, 15601695234, N/A
UCAvCL8hyXjSUHKEGuUPr1BA, qzMendShawqz, Shawn Mendes, 2011-01-19, musicCanada, 121, 28000000, 10178845323, N/A
UCmL1WlDI8UkXDXCXcBQN9CA, ultrahindi, Ultra Bollywood, 2009-10-21, entertainmentIndia, 9944, 28000000, 14452774585, N/A
UCyQqzYXQBUWgBTn4pw_fFSQ, auronplay, AuronPlay, 2006-02-28, comedySpain, 406, 27900000, 3628187108, N/A
UCX52tYZiEh_mHoFja3Veciw, erosentertainment, Eros Now Music, 2007-02-27, entertainmentIndia, 10415, 27700000, 16425322013, N/A
UCU2zNeYhf9pi_wSqFbYE96w, U2zNeYhf9pi_wSqFbYE96w, Boram Tube Vlog [보람튜브 브이로그], 2012-02-21, entertainmentUnited States, 223, 27600000, 12294411843, N/A
UC8-Th83bH_thdKZDJCrn88g, latenight, The Tonight Show Starring Jimmy Fallon, 2006-01-08, comedyUnited States, 6744, 27600000, 14715983403, N/A
UCaKLg1ELiX0zTJ6Je3c5esA, aKLg1ELiX0zTJ6Je3c5esA, Atta Halilintar, 2014-01-26, entertainmentIndonesia, 1289, 27500000, 3303854666, N/A
UCpB959t8iPrxQWj7G6n0ctQ, sssniperwolf, SSSniperWolf, 2013-01-20, entertainmentUnited States, 2678, 27500000, 12556673224, N/A
UCRx3mKNUdl8QE06nEug7p6Q, Rx3mKNUdl8QE06nEug7p6Q, BillionSurpriseToys - Nursery Rhymes, 2013-10-25, educationUnited States, 422, 27500000, 8021141674, N/A
UCEf_Bc-KVd7onSeifS3py9g, smtown, SMTOWN, 2006-03-18, musicUnspecified, 3693, 27300000, 20735189031, N/A
UCkAGrHCLFmlK3H2kd6isipg, mrbean, Mr Bean, 2006-01-04, comedyUnited Kingdom, 2185, 27200000, 8572812843, N/A
UClZuKq2m0Qu-HkopkSBLpEw, lZuKq2m0Qu-HkopkSBLpEw, Maluma, 2018-03-23, musicUnited States, 15, 27100000, 17377044504, N/A
UC5tuYcCdiKuF5Y2ZonuarwA, 5tuYcCdiKuF5Y2ZonuarwA, Jkk Entertainment, 2017-03-20, comedyIndia, 162, 27200000, 11137601880, N/A
UCLtNvbkqea8wN_kGtfgx_Mw, LtNvbkqea8wN_kGtfgx_Mw, Desi Music Factory, 2014-10-06, musicIndia, 105, 27000000, 6946778479, N/A
UCYzPXprvl5Y-Sf0g4vX-m6g, jacksepticeye, jacksepticeye, 2007-02-24, entertainmentIreland, 4772, 27100000, 14175462717, N/A
UCsPF3cApzCohxPp5oKdoWSQ, cybervillagesolution, CVS 3D Rhymes & Kids Songs, 2008-08-26, educationIndia, 338, 27000000, 16497924697, N/A
UCBAb_DK4GYZqZR9MFA7y2Xg, juptube, Galinha Pintadinha, 2006-08-30, filmBrazil, 54, 26900000, 19389602836, N/A
UCKe6w0exI94U-RzqAyoY1VA, Ke6w0exI94U-RzqAyoY1VA, Maria Clara & JP, 2015-09-06, entertainmentBrazil, 556, 26500000, 14553991857, N/A
UCwpcLKMwiuPg4aqImpGk6Ew, cancionesdelagranja, La Granja de Zenón, 2013-06-06, musicArgentina, 416, 26500000, 17482949354, N/A
UCJ0uqCI0Vqr2Rrt1HseGirg, thelatelateshow, The Late Late Show with James Corden, 2006-11-21, entertainmentUnited States, 4715, 26500000, 9109809167, N/A
UC4rasfm9J-X4jNl9SvXp8xA, ultrarecords, Ultra Music, 2006-10-24, musicUnited States, 4306, 26500000, 14767888930, N/A
UCANLZYMidaCbLQFWXBC95Jg, taylorswiftvevo, TaylorSwiftVEVO, 2009-05-12, musicUnited States, 195, 26200000, 20896586656, N/A
UCEKWXRsfUHkan-D_ljU8Asw, rajshri, Rajshri, 2006-03-24, musicIndia, 5739, 26000000, 13894049362, N/A
UCKqx9r4mrFglauNBJc1L_eg, toypudding, ToyPuddingTV, 2014-05-13, entertainmentUnited States, 2615, 25900000, 15207553196, N/A
UCttspZesZIDEwwpVIgoZtWQ, indiatv, IndiaTV, 2006-08-26, sportsIndia, 200345, 25900000, 9491600842, N/A
UCKqH_9mk1waLgBiL2vT5b9g, Vanossgaming, VanossGaming, 2011-09-15, gamesCanada, 1363, 25500000, 13793113635, N/A
UC2xskkQVFEpLcGFnNSLQY0A, Rihannavevo, RihannaVEVO, 2009-05-12, musicUnited States, 106, 25400000, 16656517328, N/A
UC4tS4Q_Cno5JVcIUXxQOOpA, 4tS4Q_Cno5JVcIUXxQOOpA, Ricis Official, 2016-01-15, entertainmentIndonesia, 1347, 25400000, 3752428119, N/A
UCucot-Zp428OwkyRm2I7v2Q, ucot-Zp428OwkyRm2I7v2Q, James Charles, 2015-12-01, entertainmentUnited States, 348, 25300000, 3425855675, N/A
UCS5Oz6CHmeoF7vSad0qqXfw, thediamondminecart, DanTDM, 2012-07-14, gamesUnited Kingdom, 3493, 25200000, 18010709230, N/A
UC20vb-R_px4CguHzzBPhoyQ, Eminemvevo, EminemVEVO, 2009-05-12, musicUnited States, 87, 25200000, 16543689513, N/A
UCY30JRSgfhYXA6i6xX1erWg, Smosh, Smosh, 2005-11-19, comedyUnited States, 1198, 25100000, 9893316798, N/A
UC-yXuc1__OzjwpsJPlxYUCQ, worldstarhiphoptv, WORLDSTARHIPHOP, 2008-11-08, musicUnited States, 5675, 25100000, 17961490508, N/A
UC-8Q-hLdECwQmaWNwXitYDw, katyperryvevo, KatyPerryVEVO, 2009-12-13, musicUnited States, 163, 25100000, 21033690743, N/A
UCT9zcQNlyht7fRlcjmflRSA, Imaginedragons, ImagineDragons, 2009-08-03, musicUnited States, 52, 25100000, 11334449592, N/A
UCs8qka8tfhdc69wzXYdtZ3A, lospolinesios, LosPolinesios, 2012-12-16, peopleMexico, 601, 24700000, 6211411253, N/A
UCP84QWij0alw4MvzqzyfOnw, P84QWij0alw4MvzqzyfOnw, KHANDESHI MOVIES, 2013-11-11, comedyIndia, 158, 24700000, 8294647064, N/A
UCqJ5zFEED1hWs0KNQCQuYdQ, qJ5zFEED1hWs0KNQCQuYdQ, Mikecrack, 2015-07-13, gamesSpain, 1557, 24700000, 9591118069, N/A
